ID,Label,Layer,TSNE_1,TSNE_2,Pred_Prob
sp|A7T1N0|TMP2L_NEMVE,0,Input_Layer,6.4534883,-0.27700964,0.008837889
sp|Q7VYU0|FLUC_BORPE,0,Input_Layer,-1.0694767,21.405342,0.0037187394
sp|Q5YCC5|TMC7_CHICK,0,Input_Layer,10.471099,0.60970384,0.007581997
sp|Q8TDN1|KCNG4_HUMAN,1,Input_Layer,0.08563796,-6.347327,0.99446243
sp|Q9W5A5|TTY2_DROME,0,Input_Layer,11.711211,-9.092032,0.0036590707
sp|G5EDN0|ACC3_CAEEL,0,Input_Layer,-13.768334,9.975209,0.002893854
sp|Q708S3|ASI4B_DANRE,0,Input_Layer,-21.29074,-1.7364143,0.00091729546
sp|Q09274|UN105_CAEEL,0,Input_Layer,-25.016296,0.98166835,0.0014354241
sp|P35500|SCNA_DROME,1,Input_Layer,9.212039,-17.983599,0.99900025
sp|Q9UK17|KCND3_HUMAN,1,Input_Layer,3.5772278,-8.269114,0.998722
sp|E9NA96|IR25A_DROME,0,Input_Layer,-7.328951,3.7615228,0.0032767786
sp|Q7RTS5|OTOP3_HUMAN,0,Input_Layer,14.616984,-3.8947184,0.006081726
sp|Q96RD7|PANX1_HUMAN,0,Input_Layer,11.075014,-5.230674,0.0013518751
sp|P19334|TRP_DROME,0,Input_Layer,2.0016372,1.8252498,0.00040555137
sp|Q4GZT3|PKD2_BOVIN,1,Input_Layer,4.3639665,-5.5083365,0.9809874
sp|Q28181|CNGB1_BOVIN,0,Input_Layer,3.9867885,-12.972034,0.0057159145
sp|Q8K3P1|P2RX2_MOUSE,0,Input_Layer,3.0140772,12.638095,0.004778727
sp|Q5QM84|TPC1_ORYSJ,1,Input_Layer,1.3761016,-4.4081764,0.99699557
sp|Q9HCF6|TRPM3_HUMAN,0,Input_Layer,7.385878,-4.4444246,0.0012497648
sp|Q84M97|MSL9_ARATH,0,Input_Layer,17.082102,11.726422,0.0008615211
sp|Q7TN60|TMC6_MOUSE,0,Input_Layer,11.555351,-0.30105758,0.0006393413
sp|P0A742|MSCL_ECOLI,0,Input_Layer,25.26149,12.344708,0.0044040983
sp|Q9V9N1|IR40A_DROME,0,Input_Layer,-8.067529,5.8391657,0.0011754346
sp|O00555|CAC1A_HUMAN,1,Input_Layer,6.729251,-18.436436,0.99653167
sp|Q61180|SCNNA_MOUSE,0,Input_Layer,-22.291891,-1.5951717,0.0016483959
sp|F4IME2|MSL8_ARATH,0,Input_Layer,17.167036,11.725293,0.00035288962
sp|Q9ULK0|GRID1_HUMAN,0,Input_Layer,-5.815088,0.1228107,0.0133495955
sp|Q979Z2|TVOK_THEVO,0,Input_Layer,-1.5931019,14.804411,0.006754039
sp|P33085|SHAKB_DROME,0,Input_Layer,-19.873777,14.489181,0.007391058
sp|Q00975|CAC1B_HUMAN,1,Input_Layer,7.244814,-17.988201,0.9948828
sp|Q9GJS9|GLRB_BOVIN,0,Input_Layer,-11.064442,11.036295,0.0022400143
sp|Q8CIR4|TRPM6_MOUSE,0,Input_Layer,7.921445,-3.0521882,0.0014530469
sp|Q8GX93|CLCE_ARATH,1,Input_Layer,12.024319,12.972431,0.9962763
sp|Q9W0T5|PYX_DROME,0,Input_Layer,-3.089155,5.377473,0.008954357
sp|Q91ZF1|KCJ15_RAT,1,Input_Layer,-10.143614,-4.1222234,0.9987513
sp|Q23435|TWK9_CAEEL,0,Input_Layer,0.2754225,7.2826214,0.012087715
sp|Q95T12|FLOWR_DROME,0,Input_Layer,23.223175,-12.4124155,0.011927317
sp|Q9JLF1|GBRT_MOUSE,0,Input_Layer,-15.681734,6.1607246,0.0081994105
sp|Q96PH1|NOX5_HUMAN,0,Input_Layer,-1.9893384,-7.786419,0.012829829
sp|Q96T54|KCNKH_HUMAN,1,Input_Layer,-0.48324242,-11.478441,0.9960459
sp|Q1PE15|MCU4_ARATH,0,Input_Layer,11.898979,17.923147,0.003098558
sp|Q9U1S7|PKD2_CAEEL,0,Input_Layer,-0.70801467,2.77333,0.003207451
sp|O27564|MTHK_METTH,0,Input_Layer,-1.4643193,14.904349,0.004354885
sp|A2AIR5|NMD3A_MOUSE,0,Input_Layer,-5.08393,-0.10192898,0.011662554
sp|Q96NY7|CLIC6_HUMAN,1,Input_Layer,3.7220707,-13.65966,0.9966133
sp|Q9NTG1|PKDRE_HUMAN,0,Input_Layer,-8.526694,-9.401494,0.0041983444
sp|T0DVE4|MSCS_HELPX,0,Input_Layer,-4.8511205,16.168621,0.004477627
sp|P17644|ACH2_DROME,0,Input_Layer,-11.746169,12.726593,0.004236008
sp|P76175|CLCB_ECOLI,1,Input_Layer,-4.1282907,-17.17343,0.9950648
sp|A0A061ACU2|PIEZ1_CAEEL,0,Input_Layer,21.008446,0.23424466,0.002622244
sp|P0A333|KCSA_STRCO,0,Input_Layer,-1.4484483,9.606133,0.010575986
sp|Q9HBA0|TRPV4_HUMAN,0,Input_Layer,4.747786,-3.2236671,0.0013370998
sp|A8DYE2|TRPCG_DROME,0,Input_Layer,2.593608,3.2752664,0.0024249696
sp|O61365|NACH_DROME,0,Input_Layer,-23.591192,3.2979455,0.0035882178
sp|Q03412|UNC7_CAEEL,0,Input_Layer,-21.23698,11.431731,0.0029990815
sp|Q18120|TWK18_CAEEL,1,Input_Layer,-0.025031202,7.708953,0.9845047
sp|Q8IZF0|NALCN_HUMAN,1,Input_Layer,6.9212303,-14.088945,0.9984647
sp|P25123|GBRB_DROME,0,Input_Layer,-10.98244,8.977522,0.00702587
sp|E2JF22|PIEZ1_MOUSE,0,Input_Layer,19.00826,-2.5010607,0.006571156
sp|Q9JJV9|SCN5A_MOUSE,1,Input_Layer,7.857811,-16.621872,0.99682933
sp|Q5FKD2|FLUC1_LACAC,0,Input_Layer,-2.632845,22.058353,0.008238556
sp|Q9V3W6|INX7_DROME,0,Input_Layer,-23.583237,14.664755,0.0019616885
sp|Q05B45|TACAN_BOVIN,0,Input_Layer,15.845345,-12.644161,0.0024075832
sp|Q06538|CSC1_YEAST,0,Input_Layer,8.158531,8.124974,0.005243227
sp|Q96RD6|PANX2_HUMAN,0,Input_Layer,10.401329,-6.3529897,0.0077125686
sp|Q08BI9|MCU_DANRE,0,Input_Layer,13.475796,3.2190592,0.0055100447
sp|Q1JV40|HVCN1_CIOIN,1,Input_Layer,0.97952497,-1.6360121,0.9965533
sp|Q64347|CLCN1_MOUSE,1,Input_Layer,-4.873042,-14.123795,0.9934041
sp|Q87WD2|ERIC_PSESM,1,Input_Layer,-4.6896544,-16.668358,0.9937358
sp|O82226|CNGC6_ARATH,1,Input_Layer,18.208746,7.353628,0.99158454
sp|Q05973|SCN1_HETBL,1,Input_Layer,13.408308,-18.677462,0.9948467
sp|Q9WVJ0|KCNH3_MOUSE,1,Input_Layer,6.8043823,-8.657292,0.9952739
sp|Q6I7B9|MAT_INCAA,0,Input_Layer,-15.821072,-2.6979117,0.009415986
sp|Q12252|PHM7_YEAST,0,Input_Layer,6.987227,8.668151,0.0037500479
sp|P34271|CUP4_CAEEL,0,Input_Layer,-19.066772,8.112899,0.0034398788
sp|Q96ER9|MITOK_HUMAN,0,Input_Layer,13.583287,2.0788162,0.0056089354
sp|P52192|IRK1_CAEEL,1,Input_Layer,-9.577975,-2.162838,0.994568
sp|Q90218|GLRK_ANAPL,0,Input_Layer,-10.096336,2.9868975,0.0037163852
sp|Q9C8G5|CSCLD_ARATH,0,Input_Layer,9.280924,7.941,0.001650369
sp|Q8TD43|TRPM4_HUMAN,0,Input_Layer,8.841416,-1.8620533,0.00043469554
sp|Q86XQ3|CTSR3_HUMAN,1,Input_Layer,-2.1830525,-3.795241,0.99766433
sp|Q19038|DEL1_CAEEL,0,Input_Layer,-23.543808,1.1496491,0.0035458598
sp|Q9Z307|KCJ16_MOUSE,1,Input_Layer,-10.067179,-2.9390485,0.9991736
sp|Q9Z258|KCNT1_RAT,1,Input_Layer,7.708526,-5.744099,0.9953458
sp|Q9M2D2|VCCN1_ARATH,1,Input_Layer,12.27075,10.482709,0.98287094
sp|Q86LG1|PPK28_DROME,0,Input_Layer,-23.576624,2.5256946,0.003624481
sp|P26362|CFTR_SQUAC,0,Input_Layer,-3.3682191,3.9464724,0.00027168146
sp|Q9U6B8|ORAI1_DROME,0,Input_Layer,11.418312,-12.16785,0.006025609
